Payment Mode,Quarter,State,Total Amount,Total Transactions count,Year
Recharge & bill payments,1,andaman-&-nicobar-islands,1845307.4673655091,4200.0,2018
Peer-to-peer payments,1,andaman-&-nicobar-islands,12138655.299749982,1871.0,2018
Merchant payments,1,andaman-&-nicobar-islands,452507.168646613,298.0,2018
Financial Services,1,andaman-&-nicobar-islands,10601.419933464953,33.0,2018
Others,1,andaman-&-nicobar-islands,184689.8662902223,256.0,2018
Recharge & bill payments,2,andaman-&-nicobar-islands,2320944.731074479,6735.0,2018
Peer-to-peer payments,2,andaman-&-nicobar-islands,24511925.23104766,3575.0,2018
Merchant payments,2,andaman-&-nicobar-islands,1024491.0133579008,603.0,2018
Financial Services,2,andaman-&-nicobar-islands,121336.0270987509,59.0,2018
Others,2,andaman-&-nicobar-islands,359838.50537474576,368.0,2018
Recharge & bill payments,3,andaman-&-nicobar-islands,4343504.868377829,8636.0,2018
Peer-to-peer payments,3,andaman-&-nicobar-islands,49270781.541635044,6448.0,2018
Merchant payments,3,andaman-&-nicobar-islands,1627359.8394868043,945.0,2018
Financial Services,3,andaman-&-nicobar-islands,1481.4907042806485,42.0,2018
Others,3,andaman-&-nicobar-islands,314343.39410715323,194.0,2018
Recharge & bill payments,4,andaman-&-nicobar-islands,5450549.512294375,11517.0,2018
Peer-to-peer payments,4,andaman-&-nicobar-islands,81001456.97825177,10451.0,2018
Merchant payments,4,andaman-&-nicobar-islands,3552027.735492656,1421.0,2018
Financial Services,4,andaman-&-nicobar-islands,76035.7877393286,29.0,2018
Others,4,andaman-&-nicobar-islands,468266.0606770435,340.0,2018
Recharge & bill payments,1,andaman-&-nicobar-islands,6611459.8729725825,15263.0,2019
Peer-to-peer payments,1,andaman-&-nicobar-islands,91808345.86839552,13119.0,2019
Merchant payments,1,andaman-&-nicobar-islands,3266589.8469614363,1759.0,2019
Financial Services,1,andaman-&-nicobar-islands,116250.43671861099,62.0,2019
Others,1,andaman-&-nicobar-islands,497094.6484417205,283.0,2019
Recharge & bill payments,2,andaman-&-nicobar-islands,7242448.256212333,14676.0,2019
Peer-to-peer payments,2,andaman-&-nicobar-islands,107525358.66652839,14481.0,2019
Merchant payments,2,andaman-&-nicobar-islands,4702152.616619372,4031.0,2019
Financial Services,2,andaman-&-nicobar-islands,113278.91371326067,124.0,2019
Others,2,andaman-&-nicobar-islands,671471.222589792,377.0,2019
Recharge & bill payments,3,andaman-&-nicobar-islands,8171737.705916681,16219.0,2019
Peer-to-peer payments,3,andaman-&-nicobar-islands,101079821.10344611,13767.0,2019
Merchant payments,3,andaman-&-nicobar-islands,4428734.574846684,3519.0,2019
Financial Services,3,andaman-&-nicobar-islands,158857.94315586874,50.0,2019
Others,3,andaman-&-nicobar-islands,232624.75992853564,215.0,2019
