Place Name,Quarter,State,Total Amount,Total Transactions count,Year
north and middle andaman district,1,andaman-&-nicobar-islands,931663.0770939873,442.0,2018
south andaman district,1,andaman-&-nicobar-islands,12560249.34366581,5688.0,2018
nicobars district,1,andaman-&-nicobar-islands,1139848.801225994,528.0,2018
north and middle andaman district,2,andaman-&-nicobar-islands,1317863.0834906558,825.0,2018
south andaman district,2,andaman-&-nicobar-islands,23948235.51634325,9395.0,2018
nicobars district,2,andaman-&-nicobar-islands,3072436.9081196385,1120.0,2018
north and middle andaman district,3,andaman-&-nicobar-islands,4901529.518499676,1283.0,2018
south andaman district,3,andaman-&-nicobar-islands,44268112.464252464,13511.0,2018
nicobars district,3,andaman-&-nicobar-islands,6387829.151558982,1471.0,2018
north and middle andaman district,4,andaman-&-nicobar-islands,7955635.917688001,2137.0,2018
south andaman district,4,andaman-&-nicobar-islands,75411840.8018554,20136.0,2018
nicobars district,4,andaman-&-nicobar-islands,7180859.354911782,1485.0,2018
north and middle andaman district,1,andaman-&-nicobar-islands,9561708.736298349,3264.0,2019
south andaman district,1,andaman-&-nicobar-islands,85501972.38780196,25683.0,2019
nicobars district,1,andaman-&-nicobar-islands,7236059.549389593,1539.0,2019
north and middle andaman district,2,andaman-&-nicobar-islands,8612103.137888122,3371.0,2019
south andaman district,2,andaman-&-nicobar-islands,102530955.71341251,28490.0,2019
nicobars district,2,andaman-&-nicobar-islands,9111650.82436246,1828.0,2019
north and middle andaman district,3,andaman-&-nicobar-islands,11481466.28335679,4049.0,2019
south andaman district,3,andaman-&-nicobar-islands,91023888.32848613,27421.0,2019
nicobars district,3,andaman-&-nicobar-islands,11566421.47545101,2300.0,2019
north and middle andaman district,4,andaman-&-nicobar-islands,13524056.784573939,4716.0,2019
south andaman district,4,andaman-&-nicobar-islands,110930312.2061162,27843.0,2019
nicobars district,4,andaman-&-nicobar-islands,12384161.52668771,2600.0,2019
north and middle andaman district,1,andaman-&-nicobar-islands,14697371.6178571,5674.0,2020
south andaman district,1,andaman-&-nicobar-islands,134679396.90582752,32713.0,2020
nicobars district,1,andaman-&-nicobar-islands,12099543.77359005,2911.0,2020
north and middle andaman district,2,andaman-&-nicobar-islands,22447714.061058953,10979.0,2020
south andaman district,2,andaman-&-nicobar-islands,132855778.74838582,48088.0,2020
nicobars district,2,andaman-&-nicobar-islands,14341508.60470232,3895.0,2020
north and middle andaman district,3,andaman-&-nicobar-islands,33486883.37042555,16747.0,2020
south andaman district,3,andaman-&-nicobar-islands,282366109.2052393,95323.0,2020
nicobars district,3,andaman-&-nicobar-islands,22166453.75469538,5413.0,2020
north and middle andaman district,4,andaman-&-nicobar-islands,68941322.38839513,29349.0,2020
south andaman district,4,andaman-&-nicobar-islands,523122462.88302904,186494.0,2020
nicobars district,4,andaman-&-nicobar-islands,35218871.04342849,8688.0,2020
north and middle andaman district,1,andaman-&-nicobar-islands,75027255.27919498,27358.0,2021
south andaman district,1,andaman-&-nicobar-islands,669604045.1248703,207092.0,2021
nicobars district,1,andaman-&-nicobar-islands,39075266.9856904,10302.0,2021
north and middle andaman district,2,andaman-&-nicobar-islands,90233388.79463302,39200.0,2021
south andaman district,2,andaman-&-nicobar-islands,760893020.5704944,286907.0,2021
nicobars district,2,andaman-&-nicobar-islands,48020606.74716837,15307.0,2021
north and middle andaman district,3,andaman-&-nicobar-islands,118254865.8275068,46592.0,2021
south andaman district,3,andaman-&-nicobar-islands,1116789010.645961,382418.0,2021
nicobars district,3,andaman-&-nicobar-islands,74980519.3281361,20754.0,2021
north and middle andaman district,4,andaman-&-nicobar-islands,156486112.2873243,53115.0,2021
south andaman district,4,andaman-&-nicobar-islands,1694794708.0093331,558571.0,2021
nicobars district,4,andaman-&-nicobar-islands,81329281.02699961,24437.0,2021
north and middle andaman district,1,andaman-&-nicobar-islands,161624878.52274162,60059.0,2022
south andaman district,1,andaman-&-nicobar-islands,1872991195.9026842,705512.0,2022
nicobars district,1,andaman-&-nicobar-islands,94414127.64974089,29177.0,2022
north and middle andaman district,2,andaman-&-nicobar-islands,195693167.78757262,72573.0,2022
south andaman district,2,andaman-&-nicobar-islands,2357326563.362071,954875.0,2022
nicobars district,2,andaman-&-nicobar-islands,132900618.93062322,43769.0,2022
north and middle andaman district,3,andaman-&-nicobar-islands,211581970.34202647,79574.0,2022
south andaman district,3,andaman-&-nicobar-islands,2967719400.849909,1455255.0,2022
nicobars district,3,andaman-&-nicobar-islands,131330400.94545081,49550.0,2022
north and middle andaman district,4,andaman-&-nicobar-islands,241431284.3558103,93297.0,2022
south andaman district,4,andaman-&-nicobar-islands,3600887266.099448,1835592.0,2022
nicobars district,4,andaman-&-nicobar-islands,142355853.9735252,58646.0,2022
east godavari district,1,andhra-pradesh,1235785515.599726,943935.0,2018
srikakulam district,1,andhra-pradesh,587778028.9183557,458921.0,2018
spsr nellore district,1,andhra-pradesh,676643237.8069417,531612.0,2018
vizianagaram district,1,andhra-pradesh,505783445.78161997,420990.0,2018
visakhapatnam district,1,andhra-pradesh,1749966196.5049942,1256469.0,2018
prakasam district,1,andhra-pradesh,748990775.8676485,534757.0,2018
anantapur district,1,andhra-pradesh,788830646.0324218,638664.0,2018
ysr district,1,andhra-pradesh,681481931.0936775,487333.0,2018
west godavari district,1,andhra-pradesh,853547668.7532667,577090.0,2018
kurnool district,1,andhra-pradesh,764905298.7350456,679623.0,2018
chittoor district,1,andhra-pradesh,1009621878.0870509,830324.0,2018
guntur district,1,andhra-pradesh,1108686589.026682,815932.0,2018
krishna district,1,andhra-pradesh,1284255179.6156201,863935.0,2018
east godavari district,2,andhra-pradesh,2168914928.423901,1221677.0,2018
srikakulam district,2,andhra-pradesh,929392017.3670052,559868.0,2018
spsr nellore district,2,andhra-pradesh,1542057934.010896,780454.0,2018
vizianagaram district,2,andhra-pradesh,811711367.5080049,529588.0,2018
visakhapatnam district,2,andhra-pradesh,2987853607.2939086,1641192.0,2018
prakasam district,2,andhra-pradesh,1571167562.1276271,739991.0,2018
anantapur district,2,andhra-pradesh,1690366079.055792,937023.0,2018
ysr district,2,andhra-pradesh,1415500367.686184,690842.0,2018
west godavari district,2,andhra-pradesh,1688025212.304594,786033.0,2018
kurnool district,2,andhra-pradesh,1531888665.684323,968439.0,2018
chittoor district,2,andhra-pradesh,1990419125.893711,1185723.0,2018
guntur district,2,andhra-pradesh,2108475811.785996,1088101.0,2018
krishna district,2,andhra-pradesh,2448141593.4919834,1224987.0,2018
east godavari district,3,andhra-pradesh,3551247095.3074474,3226907.0,2018
srikakulam district,3,andhra-pradesh,1318322236.598471,1073883.0,2018
spsr nellore district,3,andhra-pradesh,2215938596.1851077,1308890.0,2018
vizianagaram district,3,andhra-pradesh,1163546006.895916,970132.0,2018
visakhapatnam district,3,andhra-pradesh,4821892253.393524,3394576.0,2018
prakasam district,3,andhra-pradesh,2346453445.483843,1319651.0,2018
anantapur district,3,andhra-pradesh,2681787750.4641647,1815215.0,2018
ysr district,3,andhra-pradesh,2235904512.2542043,1557444.0,2018
west godavari district,3,andhra-pradesh,2309078492.805814,1431282.0,2018
kurnool district,3,andhra-pradesh,2908389261.539773,2921189.0,2018
chittoor district,3,andhra-pradesh,3283517630.720593,2297429.0,2018
guntur district,3,andhra-pradesh,3127764663.180438,1912529.0,2018
krishna district,3,andhra-pradesh,3754202654.384461,2396934.0,2018
east godavari district,4,andhra-pradesh,4652624623.436675,3052762.0,2018
srikakulam district,4,andhra-pradesh,1870278609.504549,1252807.0,2018
spsr nellore district,4,andhra-pradesh,3293448556.973445,1814997.0,2018
vizianagaram district,4,andhra-pradesh,1817673252.541776,1386787.0,2018
visakhapatnam district,4,andhra-pradesh,7366635864.849373,4791421.0,2018
prakasam district,4,andhra-pradesh,3255254226.03728,1692862.0,2018
anantapur district,4,andhra-pradesh,3975878156.3298287,2286391.0,2018
ysr district,4,andhra-pradesh,3252340063.247859,1732527.0,2018
west godavari district,4,andhra-pradesh,3237504255.4632454,1688482.0,2018
kurnool district,4,andhra-pradesh,3626544852.4069242,2508530.0,2018
chittoor district,4,andhra-pradesh,4979093890.223491,3166201.0,2018
guntur district,4,andhra-pradesh,4730251217.6969595,2546620.0,2018
krishna district,4,andhra-pradesh,5416251838.130406,2839161.0,2018
east godavari district,1,andhra-pradesh,7382264724.59952,5440146.0,2019
srikakulam district,1,andhra-pradesh,3407912878.415258,2526855.0,2019
spsr nellore district,1,andhra-pradesh,5161932216.216368,3333584.0,2019
vizianagaram district,1,andhra-pradesh,3364576948.2993007,2798241.0,2019
visakhapatnam district,1,andhra-pradesh,13459857440.552681,9690866.0,2019
prakasam district,1,andhra-pradesh,4807527779.215152,2931081.0,2019
anantapur district,1,andhra-pradesh,6044730653.191345,3891336.0,2019
ysr district,1,andhra-pradesh,4915811593.896078,2852197.0,2019
west godavari district,1,andhra-pradesh,4623764455.47309,2829437.0,2019
kurnool district,1,andhra-pradesh,5541564892.509683,4193432.0,2019
chittoor district,1,andhra-pradesh,8223371732.233584,6486813.0,2019
guntur district,1,andhra-pradesh,7765934169.404485,4846553.0,2019
krishna district,1,andhra-pradesh,9061346433.07268,5443981.0,2019
east godavari district,2,andhra-pradesh,9116404622.476511,4699261.0,2019
srikakulam district,2,andhra-pradesh,4066576539.9368386,2019203.0,2019
spsr nellore district,2,andhra-pradesh,6880873007.482059,3141891.0,2019
vizianagaram district,2,andhra-pradesh,4443041665.039663,2272320.0,2019
visakhapatnam district,2,andhra-pradesh,20797479804.02907,11705738.0,2019
prakasam district,2,andhra-pradesh,6262396448.455349,2670529.0,2019
anantapur district,2,andhra-pradesh,7830782361.377665,3578836.0,2019
ysr district,2,andhra-pradesh,6376856828.130631,2606284.0,2019
west godavari district,2,andhra-pradesh,5676818258.955046,2402074.0,2019
kurnool district,2,andhra-pradesh,7358285187.018034,3895824.0,2019
chittoor district,2,andhra-pradesh,10982727976.22432,5983308.0,2019
guntur district,2,andhra-pradesh,10405246943.48149,5005275.0,2019
krishna district,2,andhra-pradesh,13437029115.62075,6428472.0,2019
east godavari district,3,andhra-pradesh,11387726470.57774,6537303.0,2019
srikakulam district,3,andhra-pradesh,4610131289.524039,2556296.0,2019
spsr nellore district,3,andhra-pradesh,8256600118.735449,4150195.0,2019
vizianagaram district,3,andhra-pradesh,4922069039.192161,2861581.0,2019
visakhapatnam district,3,andhra-pradesh,26944837120.04628,16694947.0,2019
prakasam district,3,andhra-pradesh,7354502261.15091,3430750.0,2019
anantapur district,3,andhra-pradesh,9554081289.488277,4889720.0,2019
ysr district,3,andhra-pradesh,7447544274.211781,3296586.0,2019
west godavari district,3,andhra-pradesh,6627629029.014131,3179541.0,2019
kurnool district,3,andhra-pradesh,9025632779.412457,5139134.0,2019
chittoor district,3,andhra-pradesh,13837455758.755262,8201783.0,2019
guntur district,3,andhra-pradesh,13075661264.18803,6942304.0,2019
krishna district,3,andhra-pradesh,16404073560.50078,8408474.0,2019
east godavari district,4,andhra-pradesh,16816774065.30131,9285739.0,2019
srikakulam district,4,andhra-pradesh,6832369301.879346,3712555.0,2019
spsr nellore district,4,andhra-pradesh,11786014089.19402,5877804.0,2019
vizianagaram district,4,andhra-pradesh,7175851807.068796,3998234.0,2019
visakhapatnam district,4,andhra-pradesh,39133296330.044624,23594874.0,2019
prakasam district,4,andhra-pradesh,10604077824.801031,4865473.0,2019
anantapur district,4,andhra-pradesh,13887248889.06406,6764112.0,2019
ysr district,4,andhra-pradesh,10865073855.73078,4793157.0,2019
west godavari district,4,andhra-pradesh,9710614747.20177,4596479.0,2019
kurnool district,4,andhra-pradesh,13233105728.54823,7001958.0,2019
chittoor district,4,andhra-pradesh,19298476027.87548,11246986.0,2019
guntur district,4,andhra-pradesh,18565626418.03591,9761330.0,2019
krishna district,4,andhra-pradesh,23039786404.046642,11719402.0,2019
