App Openings,Place Name,Quarter,Registered Users Count,State,Year
0.0,north and middle andaman district,1,632.0,andaman-&-nicobar-islands,2018
0.0,south andaman district,1,5846.0,andaman-&-nicobar-islands,2018
0.0,nicobars district,1,262.0,andaman-&-nicobar-islands,2018
0.0,north and middle andaman district,2,911.0,andaman-&-nicobar-islands,2018
0.0,south andaman district,2,8143.0,andaman-&-nicobar-islands,2018
0.0,nicobars district,2,351.0,andaman-&-nicobar-islands,2018
0.0,north and middle andaman district,3,1208.0,andaman-&-nicobar-islands,2018
0.0,south andaman district,3,10474.0,andaman-&-nicobar-islands,2018
0.0,nicobars district,3,467.0,andaman-&-nicobar-islands,2018
0.0,north and middle andaman district,4,1553.0,andaman-&-nicobar-islands,2018
0.0,south andaman district,4,13133.0,andaman-&-nicobar-islands,2018
0.0,nicobars district,4,536.0,andaman-&-nicobar-islands,2018
0.0,north and middle andaman district,1,2013.0,andaman-&-nicobar-islands,2019
0.0,south andaman district,1,15961.0,andaman-&-nicobar-islands,2019
0.0,nicobars district,1,622.0,andaman-&-nicobar-islands,2019
6118.0,north and middle andaman district,2,2417.0,andaman-&-nicobar-islands,2019
43569.0,south andaman district,2,18621.0,andaman-&-nicobar-islands,2019
2953.0,nicobars district,2,693.0,andaman-&-nicobar-islands,2019
22064.0,north and middle andaman district,3,2662.0,andaman-&-nicobar-islands,2019
138190.0,south andaman district,3,20518.0,andaman-&-nicobar-islands,2019
10853.0,nicobars district,3,751.0,andaman-&-nicobar-islands,2019
26253.0,north and middle andaman district,4,2955.0,andaman-&-nicobar-islands,2019
139646.0,south andaman district,4,22202.0,andaman-&-nicobar-islands,2019
11113.0,nicobars district,4,803.0,andaman-&-nicobar-islands,2019
30444.0,north and middle andaman district,1,3315.0,andaman-&-nicobar-islands,2020
151529.0,south andaman district,1,24174.0,andaman-&-nicobar-islands,2020
11613.0,nicobars district,1,879.0,andaman-&-nicobar-islands,2020
56992.0,north and middle andaman district,2,4100.0,andaman-&-nicobar-islands,2020
231071.0,south andaman district,2,27626.0,andaman-&-nicobar-islands,2020
17009.0,nicobars district,2,984.0,andaman-&-nicobar-islands,2020
76553.0,north and middle andaman district,3,5355.0,andaman-&-nicobar-islands,2020
417785.0,south andaman district,3,34833.0,andaman-&-nicobar-islands,2020
21227.0,nicobars district,3,1147.0,andaman-&-nicobar-islands,2020
125915.0,north and middle andaman district,4,7076.0,andaman-&-nicobar-islands,2020
725321.0,south andaman district,4,43908.0,andaman-&-nicobar-islands,2020
35972.0,nicobars district,4,1412.0,andaman-&-nicobar-islands,2020
121680.0,north and middle andaman district,1,7833.0,andaman-&-nicobar-islands,2021
837589.0,south andaman district,1,48352.0,andaman-&-nicobar-islands,2021
45067.0,nicobars district,1,1573.0,andaman-&-nicobar-islands,2021
596182.0,north and middle andaman district,2,8493.0,andaman-&-nicobar-islands,2021
1270226.0,south andaman district,2,51903.0,andaman-&-nicobar-islands,2021
381815.0,nicobars district,2,1699.0,andaman-&-nicobar-islands,2021
759314.0,north and middle andaman district,3,9263.0,andaman-&-nicobar-islands,2021
1771107.0,south andaman district,3,55873.0,andaman-&-nicobar-islands,2021
591204.0,nicobars district,3,1846.0,andaman-&-nicobar-islands,2021
171921.0,north and middle andaman district,4,10002.0,andaman-&-nicobar-islands,2021
1863037.0,south andaman district,4,59807.0,andaman-&-nicobar-islands,2021
77952.0,nicobars district,4,1971.0,andaman-&-nicobar-islands,2021
904869.0,north and middle andaman district,1,10720.0,andaman-&-nicobar-islands,2022
2368756.0,south andaman district,1,63487.0,andaman-&-nicobar-islands,2022
573782.0,nicobars district,1,2081.0,andaman-&-nicobar-islands,2022
963824.0,north and middle andaman district,2,11379.0,andaman-&-nicobar-islands,2022
3404740.0,south andaman district,2,66959.0,andaman-&-nicobar-islands,2022
811449.0,nicobars district,2,2192.0,andaman-&-nicobar-islands,2022
1176567.0,north and middle andaman district,3,11897.0,andaman-&-nicobar-islands,2022
3607286.0,south andaman district,3,70445.0,andaman-&-nicobar-islands,2022
